Index,Name,OVR,Position,Alternative positions,Age,Nation,League,Team
238,Boubacar Kamara,82,CDM,CM,24,France,Premier League,Aston Villa
239,Franck Yannick Kessié,82,CDM,CM,27,Côte d'Ivoire,ROSHN Saudi League,Al Ahli
240,Randal Kolo Muani,82,ST,,25,France,Ligue 1 McDonald's,Paris SG
241,Filip Kostić,82,LM,"LB, LW",31,Serbia,Serie A Enilive,Juventus
242,Mohammed Kudus,82,RM,"CAM, LM, RW",24,Ghana,Premier League,West Ham
243,Dejan Kulusevski,82,RM,"RW, CAM",24,Sweden,Premier League,Spurs
244,Alexandre Lacazette,82,ST,,33,France,Ligue 1 McDonald's,OL
245,Jeremías Conan Ledesma,82,GK,,31,Argentina,Libertadores,River Plate
246,Bernd Leno,82,GK,,32,Germany,Premier League,Fulham
247,Stanislav Lobotka,82,CM,CDM,29,Slovakia,Serie A Enilive,SSC Napoli
248,Ademola Lookman,82,ST,,26,Nigeria,Serie A Enilive,Bergamo Calcio
249,Romelu Lukaku,82,ST,,31,Belgium,Serie A Enilive,SSC Napoli
250,Gianluca Mancini,82,CB,,28,Italy,Serie A Enilive,AS Roma
251,John McGinn,82,CM,"CDM, RM",29,Scotland,Premier League,Aston Villa
252,Aleksandar Mitrović,82,ST,,29,Serbia,ROSHN Saudi League,Al Hilal
253,Nahuel Molina,82,RB,,26,Argentina,LALIGA EA SPORTS,Atlético de Madrid
254,Savinho,82,LW,LM,20,Brazil,Premier League,Manchester City
255,Thomas Müller,82,CAM,ST,35,Germany,Bundesliga,FC Bayern München
256,Darwin Núñez,82,ST,,25,Uruguay,Premier League,Liverpool
257,Michael Olise,82,RM,"RW, CAM",22,France,Bundesliga,FC Bayern München
258,Oyarzabal,82,ST,"LW, LM",27,Spain,LALIGA EA SPORTS,Real Sociedad
259,Thomas Partey,82,CDM,CM,31,Ghana,Premier League,Arsenal
260,Tijjani Reijnders,82,CM,"CDM, CAM",26,Holland,Serie A Enilive,Milano FC
261,Fabián Ruiz,82,CM,CDM,28,Spain,Ligue 1 McDonald's,Paris SG
262,Brice Samba,82,GK,,30,France,Ligue 1 McDonald's,RC Lens
263,Sancet,82,CAM,"CM, ST",24,Spain,LALIGA EA SPORTS,Athletic Club
264,Jadon Sancho,82,LM,"RM, LW",24,England,Premier League,Chelsea
265,Fabian Schär,82,CB,,32,Switzerland,Premier League,Newcastle Utd
266,Patrik Schick,82,ST,,28,Czech Republic,Bundesliga,Leverkusen
267,Luke Shaw,82,LB,CB,29,England,Premier League,Man Utd
268,Malcom,82,CAM,RM,27,Brazil,ROSHN Saudi League,Al Hilal
269,Chris Smalling,82,CB,,34,England,ROSHN Saudi League,Al Fayha
270,Alexander Sørloth,82,ST,,28,Norway,LALIGA EA SPORTS,Atlético de Madrid
271,Anderson Talisca,82,RM,"CAM, ST, RW",30,Brazil,ROSHN Saudi League,Al Nassr
272,Luis Suárez,82,ST,,37,Uruguay,MLS,Inter Miami CF
273,Niklas Süle,82,CB,RB,29,Germany,Bundesliga,Borussia Dortmund
274,Kevin Trapp,82,GK,,34,Germany,Bundesliga,Frankfurt
275,Destiny Udogie,82,LB,,21,Italy,Premier League,Spurs
276,Dayot Upamecano,82,CB,,25,France,Bundesliga,FC Bayern München
277,Micky van de Ven,82,CB,,23,Holland,Premier League,Spurs
278,Raphaël Varane,82,CB,,31,France,Serie A Enilive,Como
279,Iñaki Williams,82,RM,"ST, RW",30,Ghana,LALIGA EA SPORTS,Athletic Club
280,Luciano Acosta,81,CAM,LM,30,Argentina,MLS,FC Cincinnati
281,Edson Álvarez,81,CDM,CM,26,Mexico,Premier League,West Ham
282,Yeray,81,CB,,29,Spain,LALIGA EA SPORTS,Athletic Club
283,Waldemar Anton,81,CB,RB,28,Germany,Bundesliga,Borussia Dortmund
284,Alphonse Areola,81,GK,,31,France,Premier League,West Ham
285,Marco Asensio,81,RW,"CM, RM",28,Spain,Ligue 1 McDonald's,Paris SG
286,Balde,81,LB,"RB, LM",20,Spain,LALIGA EA SPORTS,FC Barcelona
287,Rodrigo Bentancur,81,CM,CDM,27,Uruguay,Premier League,Spurs
288,Álex Berenguer,81,LM,"RM, LW",29,Spain,LALIGA EA SPORTS,Athletic Club
289,Sergio Busquets,81,CDM,"CM, CB",36,Spain,MLS,Inter Miami CF
290,Bryan Cristante,81,CM,"CDM, CB",29,Italy,Serie A Enilive,AS Roma
291,Ricardo Horta,81,CAM,"LM, RM",29,Portugal,Liga Portugal,SC Braga
292,Rui Silva,81,GK,,30,Portugal,LALIGA EA SPORTS,Real Betis
293,Matteo Darmian,81,RB,"CB, RM",34,Italy,Serie A Enilive,Lombardia FC
294,Jonathan David,81,ST,,24,Canada,Ligue 1 McDonald's,LOSC Lille
295,Richarlison,81,ST,LM,27,Brazil,Premier League,Spurs
296,Luuk de Jong,81,ST,,34,Holland,Eredivisie,PSV
297,Fred,81,CDM,CM,31,Brazil,Trendyol Süper Lig,Fenerbahçe
298,Eberechi Eze,81,CAM,"CM, LM",26,England,Premier League,Crystal Palace
299,Youssouf Fofana,81,CDM,CM,25,France,Serie A Enilive,Milano FC
300,Davide Frattesi,81,CM,CAM,24,Italy,Serie A Enilive,Lombardia FC
301,Remo Freuler,81,CDM,CM,32,Switzerland,Serie A Enilive,Bologna
302,Conor Gallagher,81,CM,"CAM, CDM",24,England,LALIGA EA SPORTS,Atlético de Madrid
303,Alexandr Golovin,81,LM,"CAM, LW",28,Russia,Ligue 1 McDonald's,AS Monaco
304,Pascal Groß,81,CDM,CM,33,Germany,Bundesliga,Borussia Dortmund
305,Marc Guéhi,81,CB,,24,England,Premier League,Crystal Palace
306,Dávid Hancko,81,CB,LB,26,Slovakia,Eredivisie,Feyenoord
307,Benjamin Henrichs,81,RB,"RM, LB",27,Germany,Bundesliga,RB Leipzig
308,Piero Hincapié,81,CB,LB,22,Ecuador,Bundesliga,Leverkusen
309,Ferdi Kadıoğlu,81,LB,RB,24,Turkey,Premier League,Brighton
310,Daichi Kamada,81,CAM,CM,28,Japan,Premier League,Crystal Palace
311,Presnel Kimpembe,81,CB,,29,France,Ligue 1 McDonald's,Paris SG
312,Orkun Kökçü,81,CM,"CAM, CDM",23,Turkey,Liga Portugal,SL Benfica
313,Ezri Konsa,81,CB,RB,26,England,Premier League,Aston Villa
314,Odilon Kossounou,81,CB,RB,23,Côte d'Ivoire,Serie A Enilive,Bergamo Calcio
315,Andrej Kramarić,81,ST,"CAM, CM",33,Croatia,Bundesliga,TSG Hoffenheim
316,Takefusa Kubo,81,RW,"ST, RM",23,Japan,LALIGA EA SPORTS,Real Sociedad
317,Ruben Loftus-Cheek,81,CM,CAM,28,England,Serie A Enilive,Milano FC
318,Andriy Lunin,81,GK,,25,Ukraine,LALIGA EA SPORTS,Real Madrid
319,Iñigo Martínez,81,CB,,33,Spain,LALIGA EA SPORTS,FC Barcelona
320,Noussair Mazraoui,81,RB,LB,26,Morocco,Premier League,Man Utd
321,Brais Méndez,81,CM,"RM, CAM",27,Spain,LALIGA EA SPORTS,Real Sociedad
322,Alex Meret,81,GK,,27,Italy,Serie A Enilive,SSC Napoli
323,Arkadiusz Milik,81,ST,,30,Poland,Serie A Enilive,Juventus
324,Kaoru Mitoma,81,LM,LW,27,Japan,Premier League,Brighton
325,Fernando Muslera,81,GK,,38,Uruguay,Trendyol Süper Lig,Galatasaray
326,Riccardo Orsolini,81,RM,RW,27,Italy,Serie A Enilive,Bologna
327,Stefan Ortega,81,GK,,31,Germany,Premier League,Manchester City
328,Nicolás Otamendi,81,CB,,36,Argentina,Liga Portugal,SL Benfica
329,Isi Palazón,81,RM,"CAM, LM, RW",29,Spain,LALIGA EA SPORTS,Rayo Vallecano
330,Aaron Ramsdale,81,GK,,26,England,Premier League,Southampton
331,Marcus Rashford,81,LM,"ST, LW",26,England,Premier League,Man Utd
332,David Raum,81,LB,LM,26,Germany,Bundesliga,RB Leipzig
333,Stefan Savić,81,CB,,33,Montenegro,Trendyol Süper Lig,Trabzonspor
334,Xaver Schlager,81,CDM,CM,26,Austria,Bundesliga,RB Leipzig
335,Jerdy Schouten,81,CDM,"CB, CM",27,Holland,Eredivisie,PSV
336,Ellyes Skhiri,81,CDM,CM,29,Tunisia,Bundesliga,Frankfurt
